1|베놈: 라스트 댄스|액션|SF|스릴러|2024.10.23|미국|109|15|켈리 마르셀|톰 하디,치웨텔 에지오포,주노 템플
2|아마존 활명수|코미디|2024.10.30|한국|113|12|김창주|류승룡,진선규,이고르 페드로소
3|2024 KBO 한국시리즈 4차전 - KIA 타이거즈 vs 삼성 라이온즈|null|2024.10.26|한국|300|1|null|null
4|보통의 가족|드라마|2024.10.16|한국|109|15|허진호|설경구,장동건,김희애,수현
5|롱레그스|호러|스릴러|2024.10.30|미국|캐나다|101|15|오즈 퍼킨스|마이카 먼로,니콜라스 케이지,알라시아 위트 
6|2024 KBO 한국시리즈 3차전 - KIA 타이거즈 vs 삼성 라이온즈|null|2024.10.25|한국|300|1|null|null
7|리틀 엠마|애니메이션|2024.10.25|미국|80|1|레오 루이스 랴오|정해은,김다올,박시윤,김용
8|너의 색|애니메이션|2024.10.12|일본|101|1|야마다 나오코|타카이시 아카리,키도 타이세이,아라가키 유이,스즈카와 사유
9|2024 KBO 한국시리즈 5차전 - 삼성 라이온즈 vs KIA 타이거즈|null|null|2024.10.28|한국|300|null|null 
10|6시간 후 너는 죽는다|미스터리|2024.10.16|한국|91|이윤석|정재현,박주현,곽시양
11|베테랑2|액션|범죄|2024.09.13|한국|118|15|류승완|황정민,정해인,장윤주,진경
12|쏜애플 불구경 2024 라이브 콘서트 필름|null|2024.10.30|한국|136|1|금강산|윤성현,심재현,홍동균,방요셉
13|오후 네시|드라마|2024.10.23|한국|111|12|송정우|오달수,장영남,김홍파
14|2024 LoL 월드챔피언십 4강 2R|null|2024.10.27|null|360|12|null|null
15|결혼, 하겠나?|드라마|코미디|2024.10.23|한국|102|12|김진태|이동휘,한지은,강신일,차미경,박성근,박소진,유재명
16|더러운 돈에 손대지 마라|범죄|드라마|2024.10.17|한국|100|15|김민수|정우,김대명,박병은,조현철
17|블루 자이언트|애니메이션|드라마|2024.10.18|일본|119|12|타치카와 유즈루|야마다 유키,마미야 쇼타로,오카야마 아마네
18|대도시의 사랑법|드라마|2024.10.01|한국|118|15|이언희|김고은,노상현
19|임영웅ㅣ아임 히어로 더 스타디움|다큐멘터리|2024.08.28|null|109|1|조우영|정현철,임영웅